file,status,reason,source_url
cardinalis-cardinalis.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:159_Cardinal_Grosbeak.jpg
mimus-polyglottos.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:21_Mocking_Bird.jpg
zenaida-asiatica.webp,rejected,Wrong subject: Heilmann fig140 is a multi-species anatomy diagram.,https://commons.wikimedia.org/wiki/File:Heilmann_fig140.jpg
zenaida-macroura.webp,rejected,Initial segmentation lost most of the plate and is not an acceptable bird cutout.,https://commons.wikimedia.org/wiki/File:Zenaida_macrouraAWP17AA.jpg
thryothorus-ludovicianus.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:78_Great_Carolina_Wren.jpg
troglodytes-aedon.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:83_House_Wren.jpg
thryomanes-bewickii.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:18_Bewick's_Wren.jpg
baeolophus-bicolor.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:39_Crested_Titmouse.jpg
setophaga-graciae.webp,needs visual recut,Original automated whole-plate cutout was never individually approved.,https://commons.wikimedia.org/wiki/File:Setophaga_graciae_decora_1902.jpg
myioborus-pictus.webp,rejected,Mixed-species Bird-Lore plate is not an isolated Painted Redstart.,https://commons.wikimedia.org/wiki/File:Bird-Lore-5-6_0203.png
